Product_ID,Product_Name,Product_Category,Product_Sub_Category,Gender_Target,Age_Group,Brand_Name,Product_Type,Color,Material,Style,Pattern,Season,Sleeve_Length,Fit_Type,Occasion_Tag,Product_Price,Cost
P8107,Vintage Grey Kids Shirt,Kids Wear,Kids Tops,Unisex,Kids,Rainbow Kids,Kids Shirt,Grey,Cotton,Vintage,Printed,Autumn/Winter,Sleeveless,Regular,Wedding,38.33,13.77
P8092,Casual Denim Blue Sports Shoes,Footwear,Sneakers,Unisex,Adult,Rainbow Kids,Sports Shoes,Denim Blue,Synthetic,Casual,Solid,Autumn/Winter,,Slim,Everyday,116.46,52.64
P8072,Bohemian Olive Nightgown,Lingerie,Nightwear,Female,Adult,Linea Tesini,Nightgown,Olive,Satin,Bohemian,Solid,Spring/Summer,Long Sleeve,Petite,Sportswear,46.67,16.86
P8056,Classic Blush Pink Sweater Vest,Knitwear,Sweaters,Unisex,Adult,Rainbow Kids,Sweater Vest,Blush Pink,Acrylic,Classic,Solid,All Season,Sleeveless,Plus Size,Sportswear,78.94,41.88
P8087,Vintage Navy Waistcoat,Menswear,Suits,Male,Adult,Sheego,Waistcoat,Navy,Polyester,Vintage,Solid,All Season,Sleeveless,Slim,Vacation,50.22,20.59
P8043,Vintage Teal Joggers,Bottoms,Trousers,Unisex,Adult,Maite Kelly,Joggers,Teal,Polyester Blend,Vintage,Solid,Spring/Summer,,Maternity,Everyday,87.76,26.58
P8017,Classic Black Bodycon Dress,Dresses,Party Dress,Female,Adult,Sheego,Bodycon Dress,Black,Satin,Classic,Sequin,Spring/Summer,Short Sleeve,Plus Size,Work,10.35,4.51
P8009,Casual Denim Blue Shirt Dress,Dresses,Maxi Dress,Female,Adult,Bpc Selection,Shirt Dress,Denim Blue,Viscose,Casual,Floral,All Season,Long Sleeve,Petite,Everyday,43.24,14.65
P8086,Athleisure White Suit Jacket,Menswear,Suits,Male,Adult,Linea Tesini,Suit Jacket,White,Wool Blend,Athleisure,Solid,Autumn/Winter,Sleeveless,Regular,Party,36.77,19.11
P8030,Athleisure Red Tank Top,Tops,T-Shirts,Unisex,Adult,Maite Kelly,Tank Top,Red,Cotton Blend,Athleisure,Striped,Autumn/Winter,Long Sleeve,Regular,Work,119.99,56.27
P8117,Bohemian Teal Kids Shorts,Kids Wear,Kids Bottoms,Unisex,Kids,Linea Tesini,Kids Shorts,Teal,Cotton,Bohemian,Solid,All Season,,Slim,Sportswear,78.77,27.17
P8094,Athleisure Mustard Sports Shoes,Footwear,Sneakers,Unisex,Adult,Bonprix Basics,Sports Shoes,Mustard,Mesh,Athleisure,Solid,All Season,,Maternity,Work,83.09,34.34
P8047,Bohemian Denim Blue Denim Jacket,Outerwear,Jackets,Unisex,Adult,Linea Tesini,Denim Jacket,Denim Blue,Polyester,Bohemian,Solid,Spring/Summer,Short Sleeve,Petite,Wedding,48.94,23.06
P8032,Classic Olive T-Shirt,Tops,T-Shirts,Unisex,Adult,Rainbow Kids,T-Shirt,Olive,Cotton,Classic,Printed,Autumn/Winter,Short Sleeve,Petite,Wedding,44.91,22.21
P8134,Casual Beige Loungewear Set,Home Textiles,Loungewear,Unisex,Adult,Rainbow Kids,Loungewear Set,Beige,Fleece,Casual,Solid,All Season,,Regular,Vacation,103.51,51.42
